Title, Platform, Date 
Projection: First Light, iOS(Apple Arcade), 2019-09-19 
Rayman Mini, iOS(Apple Arcade), 2019-09-19 
Shantae and the Seven Sirens, iOS(Apple Arcade), 2019-09-19 
Skate City, iOS(Apple Arcade), 2019-09-19 
Sneaky Sasquatch, iOS(Apple Arcade), 2019-09-19 
Various Daylife, iOS(Apple Arcade), 2019-09-19 
LEGO Brawls, iOS(Apple Arcade), 2019-09-19 
Cricket Through the Ages, iOS(Apple Arcade), 2019-09-19 
Bleak Sword, iOS(Apple Arcade), 2019-09-19 
Football Drama, iOS, 2019-09-19 
Grindstone, iOS(Apple Arcade), 2019-09-19 
Assemble With Care, iOS(Apple Arcade), 2019-09-19 
WHAT THE GOLF?, iOS(Apple Arcade), 2019-09-19 
Card of Darkness, iOS(Apple Arcade), 2019-09-19 
Stellar Commanders, iOS(Apple Arcade), 2019-09-19 
Where Cards Fall, iOS(Apple Arcade), 2019-09-19 
Spaceland, iOS(Apple Arcade), 2019-09-19 
Agent Intercept, iOS(Apple Arcade), 2019-09-19 
Red Reign, iOS(Apple Arcade), 2019-09-19 
Mini Motorways, iOS(Apple Arcade), 2019-09-19 
Don't Bug Me!, iOS(Apple Arcade), 2019-09-19 
King's League II, iOS(Apple Arcade), 2019-09-19 
Neo Cab, iOS(Apple Arcade), 2019-09-19 
Tint., iOS(Apple Arcade), 2019-09-19 
Over the Alps, iOS, 2019-09-19 
Hot Lava, iOS(Apple Arcade), 2019-09-19 
The Pinball Wizard, iOS(Apple Arcade), 2019-09-19 
Word Laces, iOS(Apple Arcade), 2019-09-19 
Dear Reader, iOS(Apple Arcade), 2019-09-19 
ATONE: Heart of the Elder Tree, iOS(Apple Arcade), 2019-09-19 
Tangle Tower, iOS(Apple Arcade), 2019-09-19 
Dread Nautical, iOS(Apple Arcade), 2019-09-19 
Mutazione, iOS(Apple Arcade), 2019-09-19 
Speed Demons, iOS(Apple Arcade), 2019-09-19 
Cardpocalypse, iOS(Apple Arcade), 2019-09-19 
Down in Bermuda, iOS(Apple Arcade), 2019-09-19 
Spidersaurs, iOS(Apple Arcade), 2019-09-19 
Stranded Sails: Explorers of the Cursed Islands, iOS(Apple Arcade), 2019-09-19 
Towaga: Among Shadows, iOS(Apple Arcade), 2019-09-19 
Fledgling Heroes, iOS(Apple Arcade), 2019-09-19 
EarthNight, iOS(Apple Arcade), 2019-09-19 
Perfect World Mobile, iOS, 2019-09-18 
Saint Seiya Awakening: Knights of the Zodiac, iOS, 2019-09-17 
This Is the Police 2, iOS, 2019-09-12 
Fist of the North Star: Legends ReVIVE, iOS, 2019-09-5 
State of Survival, iOS, 2019-08-30 
Stunt Guy 2.0, iOS, 2014-04-17 
Trailer Park King - Little Redneck People, iOS, 2014-04-17 
Not Quite Red, iOS, 2014-04-17 
Jungle Raider, iOS, 2014-04-17 
Hearthstone: Heroes of Warcraft, iOS, 2014-04-16 
FarmVille 2: Country Escape, iOS, 2014-04-16 
Sparkle Unleashed, iOS, 2014-04-16 
Tidal Drive, iOS, 2014-04-16 
Where's My Water? Featuring XYY, iOS, 2014-04-16 
Isolani, iOS, 2014-04-16 
One For Eleven, iOS, 2014-04-16 
Oz Shots - A Game Of Skill, iOS, 2014-04-16 
Mutants: Genetic Gladiators, iOS, 2014-04-16 
Bullet Pea, iOS, 2014-04-15 
Bounsy, iOS, 2014-04-15 
Dark Slash, iOS, 2014-04-15 
Knight Saves Queen, iOS, 2014-04-15 
Devil Hunters - Dark Adventure of Heroes, iOS, 2014-04-15 
Walking War Robots, iOS, 2014-04-15 
Bike Assault, iOS, 2014-04-14 
Hopeless: Space Shooting, iOS, 2014-04-13 
Time Gap: Hidden Object Mystery, iOS, 2014-04-11 
Cabby Tales, iOS, 2014-04-11 
Ancient Battle: Alexander, iOS, 2014-04-11 
Family Guy: The Quest for Stuff, iOS, 2014-04-10 
BREAKFINITY, iOS, 2014-04-10 
M0B1US, iOS, 2014-04-10 
SideSwype, iOS, 2014-04-10 
Shatter Alley, iOS, 2014-04-10 
Fly Catbug Fly!, iOS, 2014-04-10 
Instantion, iOS, 2014-04-10 
FreeDum, iOS, 2014-04-10 
Hilomi - Cute animals photo safari, iOS, 2014-04-10 
Dungeon Quest (2014), iOS, 2014-04-10 
Fable Age, iOS, 2014-04-10 
AngerForce - Strikers, iOS, 2014-04-10 
Sudoku Junior, iOS, 2014-04-10 
Trials Frontier, iOS, 2014-04-9 
